P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_MAG,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_ESI
KELT-17 b,416.35468,17.09525,3.0801716,0.04881,,KELT-17,9.286,-0.018,1.64,1.65,A,0.65,7454,24.354992,1.4246643,0.08333685,0.04881,3160.796,1910.2668,Jovian,7.5303314,7.4091914,42.591729,0.39263741,0.053982347
KELT-20 b,1074.8943,19.51661,3.4741085,0.0542,,KELT-20,7.58,-0.29,1.76,1.56,A,0.6,8720,55.075871,2.8219999,0.14459478,0.0542,4291.4614,2062.0359,Jovian,12.606769,9.5866233,383.82525,0.39666231,0.047737682
WASP-33 b,665.21401,17.85753,1.21987,0.0239,,WASP-33,8.142,,1.5,1.44,A,,7430,37.251177,2.0860207,0.11681462,0.0239,9912.2691,2542.074,Jovian,5.6619872,6.4246314,39.673536,0.52809844,0.051651959
MASCARA-1 b,1175.9636,16.815,2.14878,0.043,0,MASCARA-1,8.273,0,1.72,2.1,A,1,7554,69.935391,4.1591074,0.24734507,0.043,6958.2215,2326.8558,Jovian,12.865751,9.6845925,51.384476,0.42861528,0.054616805
HAT-P-57 b,448.13748,19.5054,2.4653,,0,HAT-P-57,10.465,-0.25,2.77,1.85,A,,6330,22.975047,1.1778814,0.060387449,0.050147504,1957.7097,1694.6577,Jovian,4.9231939,5.9908334,7.35474,0.64790459,0.04805426
KELT-19 A b,1293.56,21.4111,4.6117093,0.0637,,KELT-19 A,9.885,-0.12,1.62,1.83,A,,7500,60.41539,2.8216855,0.13178611,0.0637,2339.683,1771.8794,Jovian,9.4937082,8.3192028,45.906102,0.54182137,0.044025935
KELT-21 b,1242.7075,17.77906,3.6127647,0.05224,0,KELT-21,,-0.405,1.46,1.64,A,1.6,7598,69.897255,3.931437,0.22112738,0.05224,2942.8435,1876.4487,Jovian,8.0310716,7.6515694,52.473003,0.43889684,0.052112608
KELT-9 b,915.34465,21.19811,1.4811235,0.03462,0,KELT-9,7.55,-0.03,2.52,2.36,A,0.3,10170,43.180484,2.0369969,0.096093324,0.03462,44539.192,3701.0972,Jovian,53.382199,19.727044,5223.5676,0.39830145,0.044010403
HAT-P-14 b,1093.3283,15.9182,4.62767,,0.11,HAT-P-14,9.98,0.11,2.65,1.82,F,,6600,68.684168,4.31482,0.27106205,0.075646006,1002.1155,1430.1579,Jovian,5.6312806,6.4071863,11.524123,0.63841011,0.058310146
HAT-P-49 b,699.22161,17.8239,2.69155,,0,HAT-P-49,10.326,0.07,2.22,2.06,F,,6820,39.229439,2.2009459,0.12348284,0.049388842,3372.119,1941.4251,Jovian,8.2254674,7.7436206,15.853416,0.60182301,0.051947458
HATS-26 b,206.5882,19.6175,3.3023881,0.04735,0.245,HATS-26,12.955,-0.02,1.3,2.04,F,4.04,6071,10.530812,0.53680702,0.027363682,0.048771092,2330.1925,1749.7516,Jovian,5.065122,6.0765731,3.6627783,0.49272302,0.047717259
HATS-27 b,168.44884,16.815,4.637038,0.0611,0.581,HATS-27,12.766,0.09,1.42,1.74,F,2.3,6438,10.017772,0.59576404,0.03543051,0.071412489,1533.6832,1479.3954,Jovian,4.6600549,5.8285334,7.0862682,0.46196484,0.055153779
HATS-3 b,340.39379,15.48101,3.547851,0.0485,0,HATS-3,12.44,-0.157,1.21,1.4,F,3.2,6351,21.987828,1.4203097,0.091745285,0.0485,1214.59,1504.0156,Jovian,2.8570193,4.5637343,5.7854569,0.46274843,0.059591911
KELT-4 A b,286.68086,19.04579,2.9895932,0.04317,0,KELT-4 A,9.98,-0.116,1.2,1.6,F,4.44,6206,15.05219,0.79031588,0.041495568,0.04317,1825.6251,1665.3204,Jovian,3.4023242,4.9802555,4.4972723,0.4873591,0.049152345
KELT-7 b,441.78092,17.936,2.73477,,0,KELT-7,8.54,0,1.76,1.81,F,,6768,24.630961,1.3732695,0.076564979,0.046198476,2885.5719,1867.2518,Jovian,6.1586737,6.7005024,13.418726,0.5570002,0.051703581
Kepler-76 b,638.83429,15.2456,1.5449298,0.0274,,Kepler-76,13.308,-0.1,1.2,1.32,F,,6409,41.902863,2.7485217,0.18028295,0.0274,3508.2979,1960.7356,Jovian,2.6338898,4.3819011,6.3739864,0.49024316,0.059841488
PH1 b,168.76667,6.17671,138.317,0.652,0.0702,PH1,13.718,0.21,1.53,1.73,F,2,6407,27.323068,4.4235634,0.71616821,0.65360654,10.655585,459.87213,Jovian,4.5185568,5.7393624,6.8879337,0.46269377,0.22328764
HATS-24 b,718.29129,15.63795,1.3484978,0.0238,0,HATS-24,12.83,-0.229,1.07,1.12,F,3.7,6125,45.932573,2.9372503,0.18782835,0.0238,2792.5127,1852.0116,Jovian,1.5817909,3.3957703,3.7662962,0.45504364,0.058563842
WASP-167 b,2542.624,17.7118,2.0219596,0.0365,,WASP-167,,0.1,1.59,1.79,F,1.29,7000,143.55537,8.1050695,0.45760846,0.0365,5173.6988,2160.7036,Jovian,6.8926602,7.0885467,19.324376,0.4356344,0.052138585
WASP-172 b,149.37916,17.5997,5.477433,0.0694,0,WASP-172,,-0.1,1.49,1.91,F,1.79,6900,8.487597,0.48225805,0.027401492,0.0694,1538.2708,1595.5232,Jovian,7.4088661,7.3491928,15.925389,0.45022447,0.052923402
WASP-100 b,400.46328,14.9093,2.84938,,0,WASP-100,,-0.03,0.77,1.57,F,,6900,26.859965,1.8015578,0.1208345,0.036044586,3853.0464,2007.2246,Jovian,5.0059247,6.0409596,12.779824,0.42284516,0.06102696
CoRoT-3 b,6884.1545,11.3221,4.2568,,0,CoRoT-3,13.292,,1.37,1.56,F,2.2,6740,608.02806,53.702764,4.7431805,0.057078415,1381.127,1553.1139,Jovian,4.4996365,5.7273337,11.764025,0.45310843,0.078362194
HAT-P-33 b,292.40176,20.7385,3.47447,,0,HAT-P-33,11.188,0.05,1.82,1.79,F,,6446,14.099465,0.6798691,0.032782945,0.054801493,1650.3313,1623.8193,Jovian,4.9562809,6.0109308,7.8039452,0.56325915,0.045526776
WASP-17 b,247.90584,20.9627,3.73543,,0,WASP-17,11.6,-0.25,2.28,1.49,F,,6550,11.826045,0.56414705,0.026911946,0.061998556,952.49617,1415.3398,Jovian,3.6612247,5.1662684,10.058463,0.60719671,0.045543391
WASP-93 b,467.20716,17.90237,2.7325321,0.04211,0,WASP-93,10.97,0.07,1.33,1.52,F,0.7,6700,26.097503,1.4577681,0.081428775,0.04211,2352.3641,1774.2755,Jovian,4.1713347,5.5144384,10.874808,0.37070211,0.051874909
KELT-18 b,375.03704,17.5997,2.8717518,0.0455,0,KELT-18,10.117,0.09,1.52,1.91,F,1.9,6670,21.309286,1.2107755,0.068795236,0.0455,3124.8986,1904.8198,Jovian,6.4693212,6.8674124,10.798631,0.45775346,0.052575626
